antecedent,consequent,support,confidence,lift,antecedent_size,consequent_size,antecedent_set,consequent_set,rule_type,cuisine_involved
"cornmeal, yeast",cuisine:moroccan,0.012312633832976445,0.5299539170506913,10.599078341013826,2,1,"frozenset({'cornmeal', 'yeast'})",frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan
twist,"cuisine:korean, pasta",0.020770877944325482,0.31239935587761675,10.420749942489072,1,2,frozenset({'twist'}),"frozenset({'pasta', 'cuisine:korean'})",ingredient_to_cuisine,korean
"cuisine:korean, pasta",twist,0.020770877944325482,0.6928571428571428,10.420749942489072,2,1,"frozenset({'pasta', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
semolina,"cuisine:indian, sugar",0.011241970021413276,0.36713286713286714,10.328376442834276,1,2,frozenset({'semolina'}),"frozenset({'sugar', 'cuisine:indian'})",ingredient_to_cuisine,indian
"cuisine:indian, sugar",semolina,0.011241970021413276,0.31626506024096385,10.328376442834276,2,1,"frozenset({'sugar', 'cuisine:indian'})",frozenset({'semolina'}),cuisine_to_ingredient,indian
"chicken bouillon, pasta",twist,0.010706638115631691,0.6578947368421052,9.894906347995592,2,1,"frozenset({'pasta', 'chicken bouillon'})",frozenset({'twist'}),ingredient_to_ingredient,
"cereal, twist",cuisine:korean,0.011241970021413276,0.4861111111111111,9.722222222222221,2,1,"frozenset({'cereal', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"chicken, twist",cuisine:korean,0.013169164882226981,0.46590909090909094,9.318181818181818,2,1,"frozenset({'chicken', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
parsley,cornmeal,0.015524625267665952,0.6304347826086957,9.25827180749248,1,1,frozenset({'parsley'}),frozenset({'cornmeal'}),ingredient_to_ingredient,
cuisine:korean,"pasta, twist",0.020770877944325482,0.4154175588865096,9.216152019002376,1,2,frozenset({'cuisine:korean'}),"frozenset({'pasta', 'twist'})",cuisine_to_ingredient,korean
"pasta, twist",cuisine:korean,0.020770877944325482,0.4608076009501188,9.216152019002376,2,1,"frozenset({'pasta', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
semolina,cuisine:indian,0.013918629550321198,0.45454545454545453,9.09090909090909,1,1,frozenset({'semolina'}),frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
"butter, sugar",cuisine:indian,0.012205567451820129,0.4541832669322709,9.083665338645417,2,1,"frozenset({'butter', 'sugar'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
"cereal, cuisine:korean",twist,0.011241970021413276,0.6034482758620691,9.076017546782165,2,1,"frozenset({'cereal', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
"chicken, cuisine:korean",twist,0.013169164882226981,0.5970873786407768,8.980348013695417,2,1,"frozenset({'chicken', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
chicken bouillon,cuisine:korean,0.013918629550321198,0.44520547945205474,8.904109589041095,1,1,frozenset({'chicken bouillon'}),frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"sugar, wheat gluten","corn, tikka paste",0.010599571734475375,0.40408163265306124,8.797488226059656,2,2,"frozenset({'wheat gluten', 'sugar'})","frozenset({'tikka paste', 'corn'})",ingredient_to_ingredient,
"corn, sugar, tikka paste",wheat gluten,0.010599571734475375,0.3046153846153846,8.781196581196582,3,1,"frozenset({'tikka paste', 'sugar', 'corn'})",frozenset({'wheat gluten'}),ingredient_to_ingredient,
wheat gluten,"corn, sugar, tikka paste",0.010599571734475375,0.3055555555555556,8.781196581196582,1,3,frozenset({'wheat gluten'}),"frozenset({'tikka paste', 'sugar', 'corn'})",ingredient_to_ingredient,
wheat gluten,"corn, tikka paste",0.013918629550321198,0.4012345679012346,8.735503179947624,1,2,frozenset({'wheat gluten'}),"frozenset({'tikka paste', 'corn'})",ingredient_to_ingredient,
"corn, tikka paste",wheat gluten,0.013918629550321198,0.30303030303030304,8.735503179947624,2,1,"frozenset({'tikka paste', 'corn'})",frozenset({'wheat gluten'}),ingredient_to_ingredient,
"corn, cuisine:korean",twist,0.011670235546038544,0.5797872340425532,8.72014938157399,2,1,"frozenset({'corn', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
egg,cuisine:japanese,0.011241970021413276,0.4216867469879518,8.433734939759034,1,1,frozenset({'egg'}),frozenset({'cuisine:japanese'}),ingredient_to_cuisine,japanese
cuisine:korean,twist,0.027516059957173447,0.5503211991434689,8.276972624798711,1,1,frozenset({'cuisine:korean'}),frozenset({'twist'}),cuisine_to_ingredient,korean
twist,cuisine:korean,0.027516059957173447,0.4138486312399356,8.276972624798711,1,1,frozenset({'twist'}),frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"corn, twist",cuisine:korean,0.011670235546038544,0.41132075471698115,8.226415094339622,2,1,"frozenset({'corn', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"cuisine:chinese, pasta",char,0.012419700214132762,0.4218181818181818,8.225014234200039,2,1,"frozenset({'cuisine:chinese', 'pasta'})",frozenset({'char'}),cuisine_to_ingredient,chinese
"cuisine:indian, sugar",butter,0.012205567451820129,0.34337349397590367,8.160581256323002,2,1,"frozenset({'sugar', 'cuisine:indian'})",frozenset({'butter'}),cuisine_to_ingredient,indian
cuisine:chinese,char,0.020342612419700215,0.4068522483940043,7.933194154488518,1,1,frozenset({'cuisine:chinese'}),frozenset({'char'}),cuisine_to_ingredient,chinese
char,cuisine:chinese,0.020342612419700215,0.39665970772442594,7.933194154488518,1,1,frozenset({'char'}),frozenset({'cuisine:chinese'}),ingredient_to_cuisine,chinese
mahlab,cuisine:cajun_creole,0.010385438972162741,0.3927125506072875,7.854251012145749,1,1,frozenset({'mahlab'}),frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole
cuisine:indian,butter,0.016488222698072805,0.3297644539614561,7.8371501272264625,1,1,frozenset({'cuisine:indian'}),frozenset({'butter'}),cuisine_to_ingredient,indian
butter,cuisine:indian,0.016488222698072805,0.39185750636132316,7.8371501272264625,1,1,frozenset({'butter'}),frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
chicken bouillon,"pasta, twist",0.010706638115631691,0.3424657534246575,7.597696287378387,1,2,frozenset({'chicken bouillon'}),"frozenset({'pasta', 'twist'})",ingredient_to_ingredient,
taco seasoning,cuisine:russian,0.012312633832976445,0.3758169934640523,7.516339869281046,1,1,frozenset({'taco seasoning'}),frozenset({'cuisine:russian'}),ingredient_to_cuisine,russian
"chicken, rice",cuisine:vietnamese,0.014025695931477516,0.3732193732193732,7.464387464387465,2,1,"frozenset({'chicken', 'rice'})",frozenset({'cuisine:vietnamese'}),ingredient_to_cuisine,vietnamese
"cuisine:moroccan, yeast",cornmeal,0.012312633832976445,0.4752066115702479,6.978663132179426,2,1,"frozenset({'cuisine:moroccan', 'yeast'})",frozenset({'cornmeal'}),cuisine_to_ingredient,moroccan
salmon,cuisine:greek,0.011884368308351177,0.3415384615384615,6.83076923076923,1,1,frozenset({'salmon'}),frozenset({'cuisine:greek'}),ingredient_to_cuisine,greek
chicken bouillon,twist,0.014025695931477516,0.4486301369863014,6.747512849359186,1,1,frozenset({'chicken bouillon'}),frozenset({'twist'}),ingredient_to_ingredient,
bitter gourd,cuisine:cajun_creole,0.010920770877944325,0.3366336633663366,6.732673267326731,1,1,frozenset({'bitter gourd'}),frozenset({'cuisine:cajun_creole'}),ingredient_to_cuisine,cajun_creole
"cuisine:chinese, pasta",twist,0.013169164882226981,0.44727272727272727,6.727097057531841,2,1,"frozenset({'cuisine:chinese', 'pasta'})",frozenset({'twist'}),cuisine_to_ingredient,chinese
"cereal, pasta",twist,0.016595289079229122,0.4258241758241758,6.404505317548796,2,1,"frozenset({'pasta', 'cereal'})",frozenset({'twist'}),ingredient_to_ingredient,
"cuisine:korean, twist","chicken, pasta",0.011241970021413276,0.4085603112840467,6.381192821727418,2,2,"frozenset({'twist', 'cuisine:korean'})","frozenset({'chicken', 'pasta'})",cuisine_to_ingredient,korean
"cereal, pasta",cuisine:korean,0.012419700214132762,0.31868131868131866,6.373626373626373,2,1,"frozenset({'pasta', 'cereal'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"corn, wheat gluten","sugar, tikka paste",0.010599571734475375,0.559322033898305,6.153201173863568,2,2,"frozenset({'wheat gluten', 'corn'})","frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
cuisine:moroccan,cornmeal,0.0208779443254818,0.41755888650963596,6.132075471698114,1,1,frozenset({'cuisine:moroccan'}),frozenset({'cornmeal'}),cuisine_to_ingredient,moroccan
cornmeal,cuisine:moroccan,0.0208779443254818,0.3066037735849057,6.132075471698114,1,1,frozenset({'cornmeal'}),frozenset({'cuisine:moroccan'}),ingredient_to_cuisine,moroccan
shell,cuisine:thai,0.010706638115631691,0.303030303030303,6.060606060606059,1,1,frozenset({'shell'}),frozenset({'cuisine:thai'}),ingredient_to_cuisine,thai
"cuisine:moroccan, sugar",cornmeal,0.011349036402569594,0.4108527131782946,6.03359173126615,2,1,"frozenset({'cuisine:moroccan', 'sugar'})",frozenset({'cornmeal'}),cuisine_to_ingredient,moroccan
bitter gourd,pancake,0.010278372591006424,0.3168316831683168,5.966145001596933,1,1,frozenset({'bitter gourd'}),frozenset({'pancake'}),ingredient_to_ingredient,
"pasta, truffle",twist,0.010599571734475375,0.391304347826087,5.885318210459988,2,1,"frozenset({'truffle', 'pasta'})",frozenset({'twist'}),ingredient_to_ingredient,
"pasta, potato",twist,0.013383297644539615,0.3894080996884735,5.856798149903933,2,1,"frozenset({'potato', 'pasta'})",frozenset({'twist'}),ingredient_to_ingredient,
cuisine:chinese,twist,0.019271948608137045,0.38543897216274087,5.797101449275361,1,1,frozenset({'cuisine:chinese'}),frozenset({'twist'}),cuisine_to_ingredient,chinese
"corn, wheat gluten",tikka paste,0.013918629550321198,0.7344632768361581,5.76461092911741,2,1,"frozenset({'wheat gluten', 'corn'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"corn, sugar, wheat gluten",tikka paste,0.010599571734475375,0.7226277372262774,5.671716861927253,3,1,"frozenset({'wheat gluten', 'sugar', 'corn'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
wheat gluten,"sugar, tikka paste",0.017451820128479657,0.5030864197530864,5.534543180793672,1,2,frozenset({'wheat gluten'}),"frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"beef, tikka paste",bean paste,0.01595289079229122,0.39417989417989413,5.267010317081848,2,1,"frozenset({'beef', 'tikka paste'})",frozenset({'bean paste'}),ingredient_to_ingredient,
"sugar, wheat gluten",tikka paste,0.017451820128479657,0.6653061224489796,5.221814440061739,2,1,"frozenset({'wheat gluten', 'sugar'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"beef, sugar, tikka paste",bean paste,0.011670235546038544,0.39068100358422936,5.220258331154081,3,1,"frozenset({'beef', 'tikka paste', 'sugar'})",frozenset({'bean paste'}),ingredient_to_ingredient,
wheat gluten,tikka paste,0.02291220556745182,0.6604938271604939,5.184043987965557,1,1,frozenset({'wheat gluten'}),frozenset({'tikka paste'}),ingredient_to_ingredient,
"cilantro, pasta",twist,0.010492505353319057,0.33793103448275863,5.082569826198012,2,1,"frozenset({'cilantro', 'pasta'})",frozenset({'twist'}),ingredient_to_ingredient,
"bean paste, chicken, sugar",tikka paste,0.010813704496788009,0.6474358974358974,5.081555699202759,3,1,"frozenset({'chicken', 'sugar', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"chicken, wheat gluten",tikka paste,0.010278372591006424,0.6442953020134228,5.056905983870058,2,1,"frozenset({'chicken', 'wheat gluten'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"bean paste, beef, sugar",tikka paste,0.011670235546038544,0.6337209302325582,4.9739104944303305,3,1,"frozenset({'beef', 'sugar', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
cuisine:korean,"chicken, pasta",0.015738758029978588,0.3147751605995717,4.916387959866221,1,2,frozenset({'cuisine:korean'}),"frozenset({'chicken', 'pasta'})",cuisine_to_ingredient,korean
"chicken, pasta",twist,0.0208779443254818,0.3260869565217392,4.90443184204999,2,1,"frozenset({'chicken', 'pasta'})",frozenset({'twist'}),ingredient_to_ingredient,
twist,"chicken, pasta",0.0208779443254818,0.3140096618357488,4.90443184204999,1,2,frozenset({'twist'}),"frozenset({'chicken', 'pasta'})",ingredient_to_ingredient,
"bean paste, beef","sugar, tikka paste",0.011670235546038544,0.42412451361867703,4.6658692075364465,2,2,"frozenset({'beef', 'bean paste'})","frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"bean paste, corn",tikka paste,0.011777301927194861,0.5851063829787234,4.5923475773288045,2,1,"frozenset({'corn', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
parmesan romano,tikka paste,0.01113490364025696,0.5810055865921788,4.560161494765505,1,1,frozenset({'parmesan romano'}),frozenset({'tikka paste'}),ingredient_to_ingredient,
"bean paste, beef",tikka paste,0.01595289079229122,0.5797665369649805,4.55043651701926,2,1,"frozenset({'beef', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"chicken, sugar, tikka paste",bean paste,0.010813704496788009,0.3400673400673401,4.5439613107710395,3,1,"frozenset({'chicken', 'sugar', 'tikka paste'})",frozenset({'bean paste'}),ingredient_to_ingredient,
"chicken, tikka paste",bean paste,0.013918629550321198,0.33678756476683935,4.500137131505407,2,1,"frozenset({'chicken', 'tikka paste'})",frozenset({'bean paste'}),ingredient_to_ingredient,
"cherry, sugar",tikka paste,0.011991434689507495,0.5656565656565656,4.439691027926322,2,1,"frozenset({'sugar', 'cherry'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"bean paste, chicken","sugar, tikka paste",0.010813704496788009,0.39453125,4.340308451118964,2,2,"frozenset({'chicken', 'bean paste'})","frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"bean paste, sugar",tikka paste,0.022805139186295502,0.5406091370558376,4.243100285799599,2,1,"frozenset({'sugar', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"chicken, cuisine:korean, twist",pasta,0.011241970021413276,0.8536585365853658,4.1897901900721575,3,1,"frozenset({'chicken', 'twist', 'cuisine:korean'})",frozenset({'pasta'}),cuisine_to_ingredient,korean
wheat gluten,bean paste,0.010813704496788009,0.3117283950617284,4.165297868206786,1,1,frozenset({'wheat gluten'}),frozenset({'bean paste'}),ingredient_to_ingredient,
twist,"corn, pasta",0.020770877944325482,0.31239935587761675,4.0808531243313855,1,2,frozenset({'twist'}),"frozenset({'pasta', 'corn'})",ingredient_to_ingredient,
"crouton, filling",vermicelli,0.013383297644539615,0.4699248120300752,4.067745824245508,2,1,"frozenset({'crouton', 'filling'})",frozenset({'vermicelli'}),ingredient_to_ingredient,
"cuisine:korean, pasta",cereal,0.012419700214132762,0.41428571428571426,4.034857738715925,2,1,"frozenset({'pasta', 'cuisine:korean'})",frozenset({'cereal'}),cuisine_to_ingredient,korean
"bean paste, chicken",tikka paste,0.013918629550321198,0.5078125,3.9856880252100844,2,1,"frozenset({'chicken', 'bean paste'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"cuisine:korean, twist",cereal,0.011241970021413276,0.4085603112840467,3.979096253798745,2,1,"frozenset({'twist', 'cuisine:korean'})",frozenset({'cereal'}),cuisine_to_ingredient,korean
"corn, cuisine:vietnamese",rice,0.012526766595289078,0.609375,3.7969062708472316,2,1,"frozenset({'cuisine:vietnamese', 'corn'})",frozenset({'rice'}),cuisine_to_ingredient,vietnamese
"cuisine:irish, sugar",tikka paste,0.013918629550321198,0.48148148148148145,3.779022720199191,2,1,"frozenset({'sugar', 'cuisine:irish'})",frozenset({'tikka paste'}),cuisine_to_ingredient,irish
"chicken bouillon, twist",pasta,0.010706638115631691,0.7633587786259541,3.746595371711199,2,1,"frozenset({'chicken bouillon', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"beef, chicken, sugar",tikka paste,0.013704496788008565,0.47407407407407404,3.720883909119203,3,1,"frozenset({'chicken', 'beef', 'sugar'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"cuisine:korean, twist",pasta,0.020770877944325482,0.754863813229572,3.704901742282818,2,1,"frozenset({'twist', 'cuisine:korean'})",frozenset({'pasta'}),cuisine_to_ingredient,korean
"corn, twist",cereal,0.010706638115631691,0.3773584905660377,3.6752119936254353,2,1,"frozenset({'corn', 'twist'})",frozenset({'cereal'}),ingredient_to_ingredient,
"corn, crabmeat","sugar, tikka paste",0.012633832976445396,0.3333333333333333,3.6670592854338433,2,2,"frozenset({'crabmeat', 'corn'})","frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"potato, twist",pasta,0.013383297644539615,0.7396449704142012,3.63020705395094,2,1,"frozenset({'potato', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
cuisine:korean,cereal,0.018629550321199142,0.3725910064239828,3.628779979144942,1,1,frozenset({'cuisine:korean'}),frozenset({'cereal'}),cuisine_to_ingredient,korean
"chicken, cuisine:vietnamese",rice,0.014025695931477516,0.5822222222222222,3.6277221851604775,2,1,"frozenset({'chicken', 'cuisine:vietnamese'})",frozenset({'rice'}),cuisine_to_ingredient,vietnamese
"cola, sugar",shrimp stock,0.016809421841541754,0.38480392156862747,3.62670900852773,2,1,"frozenset({'sugar', 'cola'})",frozenset({'shrimp stock'}),ingredient_to_ingredient,
"chicken, twist",pasta,0.0208779443254818,0.7386363636363638,3.6252567716046435,2,1,"frozenset({'chicken', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"corn, twist",pasta,0.020770877944325482,0.7320754716981133,3.593055651949752,2,1,"frozenset({'corn', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"cilantro, twist",pasta,0.010492505353319057,0.7313432835820894,3.5894620434349527,2,1,"frozenset({'cilantro', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"pasta, twist",cereal,0.016595289079229122,0.3681710213776722,3.585732366702251,2,1,"frozenset({'pasta', 'twist'})",frozenset({'cereal'}),ingredient_to_ingredient,
"bean paste, tikka paste","beef, sugar",0.011670235546038544,0.36949152542372876,3.579928264997538,2,2,"frozenset({'tikka paste', 'bean paste'})","frozenset({'beef', 'sugar'})",ingredient_to_ingredient,
"cuisine:british, sugar",tikka paste,0.012205567451820129,0.456,3.579025210084034,2,1,"frozenset({'sugar', 'cuisine:british'})",frozenset({'tikka paste'}),cuisine_to_ingredient,british
cuisine:vietnamese,rice,0.028586723768736617,0.5717344753747323,3.5623749166110743,1,1,frozenset({'cuisine:vietnamese'}),frozenset({'rice'}),cuisine_to_ingredient,vietnamese
cherry,"sugar, tikka paste",0.011991434689507495,0.3236994219653179,3.5610749130224604,1,2,frozenset({'cherry'}),"frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"cereal, twist",pasta,0.016595289079229122,0.7175925925925926,3.521973102897958,2,1,"frozenset({'cereal', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"twist, vermicelli",pasta,0.01006423982869379,0.7175572519083969,3.521799649408527,2,1,"frozenset({'vermicelli', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"truffle, twist",pasta,0.010599571734475375,0.717391304347826,3.5209851721538072,2,1,"frozenset({'truffle', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"chicken, cuisine:korean",pasta,0.015738758029978588,0.7135922330097088,3.5023391783030373,2,1,"frozenset({'chicken', 'cuisine:korean'})",frozenset({'pasta'}),cuisine_to_ingredient,korean
"corn, crabmeat, sugar",tikka paste,0.012633832976445396,0.44528301886792454,3.494910416996988,3,1,"frozenset({'crabmeat', 'sugar', 'corn'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
twist,cereal,0.023126338329764455,0.34782608695652173,3.3875867071677925,1,1,frozenset({'twist'}),frozenset({'cereal'}),ingredient_to_ingredient,
"cuisine:vietnamese, sugar",rice,0.01145610278372591,0.5431472081218274,3.3842527844281975,2,1,"frozenset({'cuisine:vietnamese', 'sugar'})",frozenset({'rice'}),cuisine_to_ingredient,vietnamese
"cuisine:irish, sugar",crabmeat,0.012205567451820129,0.4222222222222222,3.3763318112633183,2,1,"frozenset({'sugar', 'cuisine:irish'})",frozenset({'crabmeat'}),cuisine_to_ingredient,irish
"cuisine:chinese, twist",pasta,0.013169164882226981,0.6833333333333333,3.3538272902434754,2,1,"frozenset({'cuisine:chinese', 'twist'})",frozenset({'pasta'}),cuisine_to_ingredient,chinese
bean paste,"sugar, tikka paste",0.022805139186295502,0.30472103004291845,3.352290248057548,1,2,frozenset({'bean paste'}),"frozenset({'sugar', 'tikka paste'})",ingredient_to_ingredient,
"corn, cuisine:chinese",pasta,0.012633832976445396,0.6820809248554913,3.347680419416862,2,1,"frozenset({'cuisine:chinese', 'corn'})",frozenset({'pasta'}),cuisine_to_ingredient,chinese
"corn, cuisine:korean",pasta,0.013704496788008565,0.6808510638297872,3.3416442123858188,2,1,"frozenset({'corn', 'cuisine:korean'})",frozenset({'pasta'}),cuisine_to_ingredient,korean
cherry,tikka paste,0.015738758029978588,0.42485549132947975,3.3345800748044887,1,1,frozenset({'cherry'}),frozenset({'tikka paste'}),ingredient_to_ingredient,
cola,shrimp stock,0.023768736616702354,0.35350318471337583,3.331705091042311,1,1,frozenset({'cola'}),frozenset({'shrimp stock'}),ingredient_to_ingredient,
twist,pasta,0.04507494646680942,0.677938808373591,3.327350746300231,1,1,frozenset({'twist'}),frozenset({'pasta'}),ingredient_to_ingredient,
"pisco, sugar",shrimp stock,0.012205567451820129,0.35185185185185186,3.3161415704301684,2,1,"frozenset({'pisco', 'sugar'})",frozenset({'shrimp stock'}),ingredient_to_ingredient,
"corn, cuisine:thai",rice,0.012526766595289078,0.5318181818181817,3.3136636545575837,2,1,"frozenset({'cuisine:thai', 'corn'})",frozenset({'rice'}),cuisine_to_ingredient,thai
bean paste,tikka paste,0.03158458244111349,0.42203147353361953,3.312415094793283,1,1,frozenset({'bean paste'}),frozenset({'tikka paste'}),ingredient_to_ingredient,
pisco,shrimp stock,0.01702355460385439,0.3509933774834437,3.308050601105312,1,1,frozenset({'pisco'}),frozenset({'shrimp stock'}),ingredient_to_ingredient,
crouton,vermicelli,0.017665952890792293,0.3819444444444445,3.3061734115950983,1,1,frozenset({'crouton'}),frozenset({'vermicelli'}),ingredient_to_ingredient,
"cereal, cuisine:korean",pasta,0.012419700214132762,0.6666666666666667,3.272026624627781,2,1,"frozenset({'cereal', 'cuisine:korean'})",frozenset({'pasta'}),cuisine_to_ingredient,korean
"cola, sugar",tikka paste,0.017987152034261242,0.411764705882353,3.2318339100346023,2,1,"frozenset({'sugar', 'cola'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"corn, crabmeat",tikka paste,0.015524625267665952,0.40960451977401124,3.2148791720077865,2,1,"frozenset({'crabmeat', 'corn'})",frozenset({'tikka paste'}),ingredient_to_ingredient,
"chicken, tikka paste","beef, sugar",0.013704496788008565,0.3316062176165803,3.212865220475996,2,2,"frozenset({'chicken', 'tikka paste'})","frozenset({'beef', 'sugar'})",ingredient_to_ingredient,
"sugar, twist",pasta,0.015203426124197002,0.6543778801843319,3.2117127697959322,2,1,"frozenset({'sugar', 'twist'})",frozenset({'pasta'}),ingredient_to_ingredient,
"cola, sugar",crabmeat,0.017451820128479657,0.39950980392156865,3.194710247112544,2,1,"frozenset({'sugar', 'cola'})",frozenset({'crabmeat'}),ingredient_to_ingredient,
"chocolate, vermicelli","filling, sugar",0.013169164882226981,0.4749034749034749,3.1887839364474884,2,2,"frozenset({'chocolate', 'vermicelli'})","frozenset({'sugar', 'filling'})",ingredient_to_ingredient,
